comfort,142
added,142
view,142
creature,142
object,142
thee,142
grew,141
says,141
front,141
afraid,140
pale,140
doing,140
pretty,140
sky,140
chair,140
ladies,140
die,139
ere,139
quick,138
comes,138
turning,138
children,138
real,138
walked,137
around,136
knowledge,136
below,136
bear,136
afterwards,136
months,136
book,135
son,135
oclock,134
sudden,134
sit,134
gentleman,134
wood,134
scene,134
thy,134
mouth,133
fact,133
blue,133
green,132
presently,132
hundred,132
immediately,132
agreement,131
calm,131
distance,131
particular,131
madam,130
trouble,130
beautiful,130
spirit,130
darkness,129
entirely,129
cottage,129
stopped,128
caught,128
age,128
bright,127
iron,127
mere,127
opinion,127
usual,126
promise,126
carried,126
voyage,126
character,126
pequod,126
tomorrow,125
sitting,125
states,125
year,125
wait,124
pain,124
smile,124
fair,124
fancy,124
closed,123
everything,123
early,123
fresh,123
conversation,123
follow,122
run,122
easy,122
fast,122
fairfax,122
road,121
notice,121
determined,121
mary,121
adele,121
save,120
peculiar,120
hes,120
deal,119
leaving,119
circumstances,119
marriage,119
duty,118
letters,118
surprise,118
joy,118
week,118
company,118
beneath,118
machine,118
write,117
danger,117
seat,117
show,117
dare,117
information,117
lower,117
led,117
bessie,117
moved,116
written,116
bring,116
running,116
lived,116
instantly,116
brandon,116
teeth,115
speaking,115
ah,115
arrived,115
carriage,115
tears,115
walk,115
beauty,115
step,115
vast,115
whaling,115
sake,114
please,114
presence,114
english,114
england,114
engaged,114
pounds,114
harker,113
whilst,113
shut,113
thank,113
wide,113
thats,113
appearance,113
reed,113
effect,112
horror,112
thinking,112
figure,112
secret,112
act,111
send,111
started,111
loved,111
wont,111
license,111
public,111
stranger,111
fish,111
trust,110
bad,110
knows,110
journey,110
passage,110
considerable,110
reached,110
papers,109
drawn,109
cry,109
impossible,109
probably,109
miserable,109
delight,109
ferrars,109
diary,108
threw,108
getting,108
dinner,108
noble,108
soft,108
party,108
ought,108
countenance,108
raised,107
breakfast,107
remain,107
plain,107
observed,107
today,106
forehead,106
somewhat,106
thin,106
start,106
mans,106
bent,106
unless,106
copy,106
greater,106
united,106
kindness,106
broad,106
slowly,106
quickly,105
x0,105
waiting,105
necessary,105
seek,105
charge,105
donations,105
hat,105
especially,105
filled,105
glance,105
resolved,105
wall,104
paper,104
pity,104
forget,104
trees,104
following,104
died,104
desire,104
spent,104
outside,103
learn,103
beginning,103
cant,103
number,103
moments,103
ones,103
rising,103
formed,103
daughter,103
heaven,103
task,102
grave,102
wrong,102
looks,102
sail,102
moon,102
sherlock,102
effort,101
ears,101
grey,101
quietly,101
despair,101
six,101
eyre,101
laugh,100
minute,100
misery,100
companion,100
lucys,99
horses,99
mad,99
rushed,99
straight,99
showed,99
monster,99
copyright,99
existence,99
single,99
steps,98
surprised,98
discovered,98
seas,98
situation,98
thornfield,98
shook,97
stone,97
glass,97
tall,97
foot,97
regard,97
flask,97
leg,97
women,96
complete,96
exactly,96
school,96
miles,96
nantucket,96
feared,95
sharp,95
floor,95
literary,95
weeks,95
appear,95
sought,95
fortune,95
scarcely,95
brain,94
neck,94
pointed,94
experience,94
evil,94
board,94
passing,94
pleasant,94
consider,94
evidently,93
sign,93
corner,93
books,93
dream,93
archive,93
instead,93
former,93
third,93
remarked,93
makes,92
pray,92
bound,92
eight,92
society,92
acquaintance,92
box,91
peace,91
enter,91
various,91
absolutely,91
curious,91
settled,91
concerning,91
marry,91
gentlemen,91
leviathan,91
snow,90
study,90
coffin,90
spoken,90
yours,90
mate,90
afternoon,90
degree,90
obliged,90
barton,90
amongst,89
beside,89
gods,89
touch,89
broke,89
latter,89
although,89
fall,89
marked,89
easily,89
waters,89
tail,89
wake,88
holding,88
anxious,88
somehow,88
safe,88
memory,88
church,88
weather,88
devil,88
mark,88
features,88
elizabeth,88
exclaimed,88
key,87
art,87
confidence,87
mothers,87
thick,87
paid,87
twenty,87
forced,87
directly,87
middleton,87
patient,86
yesterday,86
flowers,86
lie,86
satisfied,86
stop,86
rise,86
agree,86
dress,86
goes,86
gold,86
king,86
cabin,86
farther,86
creatures,86
godalming,85
top,85
colour,85
address,85
theres,85
repeated,85
giving,85
otherwise,85
perfectly,85
brow,85
later,84
big,84
pause,84
writing,84
worse,84
excellent,84
stern,84
paragraph,84
mighty,84
generally,84
likely,84
ocean,84
oil,84
moby,84
asleep,83
move,83
news,83
produced,83
possibly,83
removed,83
unknown,83
warm,83
gentle,83
conduct,83
considered,83
dick,83
seward,82
sad,82
prepared,82
wishes,82
difficulty,82
windows,82
note,82
simple,82
covered,82
talking,82
plainly,82
wonderful,81
im,81
altogether,81
law,81
learned,81
play,81
expression,81
grief,81
sailor,81
greatest,81
garden,81
spite,81
ingram,81
watson,81
quincey,80
eat,80
opportunity,80
lit,80
dreadful,80
finally,80
break,80
paused,80
laughed,80
language,80
merely,80
waited,79
horrible,79
escape,79
meant,79
shoulder,79
sank,79
occasion,79
force,79
sorry,79
girls,79
imagine,79
dressed,79
fate,79
believed,79
bottom,79
ice,79
dog,78
finished,78
carry,78
lamp,78
worth,78
twice,78
boy,78
direction,78
seated,78
receive,78
curiosity,78
pleased,78
rain,78
traveller,78
train,77
terror,77
putting,77
alive,77
waves,77
serious,77
arrival,77
expect,77
drawing,77
ahabs,77
morris,76
touched,76
bitter,76
seized,76
dim,76
passion,76
hurried,76
dared,76
position,76
